순,검체명,동물명,Hg,As,Cd,Pb,Al,Ba,U,Bi,Ni,Ti,Cs,Sb,Ca,Mg,Na,K,Cu,Zn,P,Fe,Mn,Cr,Se,Co,Li,V,Mo,B,Ca_Mg,Ca_P,Na_K,Zn_Cu,Na_Mg,Ca_K,종,품종,나이,성별,몸무게,BCS,피부건강,관절건강,심장건강,눈건강,호흡기건강,구강건강,소화기건강,비뇨생식기건강,뇌신경건강,호르몬건강,보호자관찰내용1,보호자관찰내용2,보호자관찰내용3,보호자관찰내용4,보호자관찰내용5,보호자관찰내용6,보호자관찰내용7,보호자관찰내용8,보호자관찰내용9,보호자관찰내용10,수의사소견및진단명1,수의사소견및진단명2,수의사소견및진단명3,수의사소견및진단명4,수의사소견및진단명5,수의사소견및진단명6,수의사소견및진단명7,수의사소견및진단명8,수의사소견및진단명9,수의사소견및진단명10,질병명1,질병명2,질병명3,질병명4,질병명5,질병명6,질병명7,질병명8,질병명9,질병명10,카테고리1,카테고리2,카테고리3,카테고리4,카테고리5,카테고리6,카테고리7,카테고리8,카테고리9,카테고리10,혈액검사일,Purpose_of_visit,Record,Glucose,BUN,Creatinine,BUN/CREratio,ALP,ALT,T_protein,Albumin,Globulin,A/G ratio,T_bilirubin,GGT,T_cholesterol,Phosphorus,Calcium[Ca++],Amylase,Lipase(Dry),Lipase,AST/GOT,ALT/GPT,TG,RBC,HCT,HGB,MCV,MCH,MCHC,RDW-CV,#RETIC,%RETIC,RETHGB,WBC,%NEU,%LYM,%MON,EO(%),%BASO,%GRA,#NEU,#LYM,#MON,EO(#),#BASO,#GRA,PLT,MPV,PDW,THT,cPL,Na+,K+,Ca++,Cl-,pH,PCO2,PO2,HCO3-,BEecf(Ven),tCO2,ANION GAP,SO2,stO2,Hct(Ven),CRP,UPC,Urine protein,Urine Creatinine,pH(U),SDMA,Na/K,새카테고리1,새카테고리2,새카테고리3,새카테고리4,새카테고리5,새카테고리6,새카테고리7,새카테고리8,새카테고리9,새카테고리10
136,V0817_41,로이,0.109,0.053,0.005,0.128,10.13,0.428,0.003,0.107,0.913,0.008,0.007,0.075,451.725,73.789,296.86,123.813,13.41,178.347,243.545,16.922,0.235,0.092,0.741,0.01,0.017,0.02,0.059,0.454,6.122,1.855,2.398,13.3,4.023,3.648,개,믹스,3,MC,7.6,4,4,4,2,5,2,4,4,4,5,5,기침,,,,,,,,,,심장사사충 감염,,,,,,,,,,심장사상충감염,,,,,,,,,,감염,,,,,,,,,,2021-08-07,"심장사상충, 폐렴재진",105,94,23.4,1.06,22.07,40,33,7.5,3.3,4.2,0.78,,,,,,,,,29,,,9.03,55.6,18.8,61.6,20.8,33.8,23,32.5,0.4,,7.86,72.2,14.6,7.6,5.2,0.4,,5.67,1.15,0.6,0.41,0.03,,240,12.2,11.7,0.29,,,,,,,,,,,,,,,,25.1,,,,,,,기타,,,,,,,,,
137,V0817_42,장군이,0.05,0.115,0.301,1.657,23.893,3.144,0.009,0.037,0.414,0.009,0.011,0.154,1379.976,240.031,5379.479,3480.75,18.923,199.338,1079.834,39.069,1.827,0.743,0.548,0.055,0.103,0.08,0.151,2.443,5.749,1.278,1.545,10.534,22.412,0.396,개,말티즈,9,MC,5.6,4,3,2,4,4,3,3,3,4,4,4,컨디션 좋음,,,,,,,,,,IMT 치료중,,,,,,,,,,자가면역성질환,,,,,,,,,,혈액,,,,,,,,,,2021-08-05,IMT재검,204,,,,,241,68,,,,,,10,,,,,,,22,,,6.33,43.7,15,69,23.7,34.3,18.1,112.7,1.8,,10.98,76.6,11.5,6.7,4.6,0.6,,8.41,1.26,0.74,0.5,0.07,,593,15.5,19.2,0.92,,148,4.57,1.32,121,7.37,41,69,23.3,-1.1,20.5,8.9,93,18.9,45,,,,,,,,기타,,,,,,,,,
138,V0817_43,설쿠키,0.099,0.078,0.006,0.081,8.335,0.29,0.008,0.011,0.192,0.011,0.01,0.076,1884.105,264.008,3244.382,730.268,14.88,242.5,242.193,17.665,0.358,0.344,1.153,0.008,0.043,0.029,0.082,4.061,7.137,7.779,4.443,16.297,12.289,2.58,개,푸들,4,FS,7.2,3,4,5,5,5,5,5,5,5,5,5,특이사항 없음,,,,,,,,,,특이사항 없음,,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,2021-08-05,골드건강검진/혈검 발송,204,98,14.6,1.03,14.17,16,47,6.4,3.4,3,1.13,0.29,7,192,2.71,9.69,1213,,,37,,44,8.42,56.5,19.6,67.1,23.3,34.7,18.7,37,0.4,,7.3,61.7,29.7,3.4,4.5,0.7,,4.5,2.17,0.25,0.33,0.05,,222,13.2,12.7,0.29,616.4,146,3.78,1.21,127,7.46,30.7,45,21.7,-1.6,18.1,0.7,84.3,20,52,1.8,0.05,12,266,7,7,,건강,,,,,,,,,
139,V0817_44,정이곰,0.181,0.129,0.02,1.126,79.671,5.638,0.011,0.018,1.134,0.011,0.014,0.741,1254.509,129.965,998.268,1031.279,15.777,194.875,452.449,121.458,3.086,0.567,0.886,0.082,0.085,0.208,0.159,2.035,9.653,2.773,0.968,12.352,7.681,1.216,개,포메라니언,6,MC,9.5,5,2,2,4,4,5,2,3,3,5,1,살이 자꾸 찌고 탈모생김,,,,,,,,,,갑상선 기능 저하증,곰팡이성 피부염,,,,,,,,,피부염,갑상선기능저하증,,,,,,,,,호르몬질환,피부질환,,,,,,,,,2021-08-05,"갑기저 검사, 항체검사, HG ^ FL",2,,,,,205,116,,,,,,5,,,,,,,,,,8.22,53.2,18.3,64.7,22.3,34.4,19.8,126.6,1.5,,13.85,74.6,17.5,5.2,2,0.7,,10.32,2.43,0.72,0.28,0.1,,471,12.7,13,0.6,,,,,,,,,,,,,,,,,,,,,,,피부질환,갑상선기능저하증,,,,,,,,
140,V0817_45,순심,0.07,0.092,0.007,0.22,33.644,0.76,0.008,0.011,0.356,0.005,0.008,0.131,282.292,42.442,917.482,248.957,19.318,193.359,204.249,56.779,1.31,0.64,0.481,0.036,0.067,0.131,0.088,1.754,6.651,1.382,3.685,10.01,21.617,1.134,개,골든두들,4,FS,34.6,4,4,2,4,5,5,4,4,4,5,5,,,,,,,,,,,,,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,건강,,,,,,,,,
141,V0817_46,알레,0.04,0.023,0.02,0.388,10.369,0.526,0.006,0.008,0.379,0.006,0.006,0.073,294.074,38.728,431.135,647.603,15.667,197.551,335.113,24.834,0.54,0.419,0.752,0.021,0.026,0.062,0.165,0.886,7.593,0.878,0.666,12.61,11.133,0.454,개,시츄,3,MC,6.3,3,5,5,5,5,5,5,4,5,5,5,,,,,,,,,,,주기적 공복성 구토,,,,,,,,,,구토,,,,,,,,,,기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
142,V0817_47,밤이,0.549,0.101,0.167,2.478,55.544,1.031,0.025,0.023,0.517,0.007,0.013,0.098,1019.404,1990.19,12141.876,667.991,16.728,222.978,303.922,98.986,3.163,0.651,0.724,0.33,0.39,0.207,0.046,7.572,0.512,3.354,18.177,13.329,6.101,1.526,개,브리타니,5,FS,13.1,3,5,5,5,5,5,5,5,3,5,5,배뇨실수,,,,,,,,,,Pelvic bladder,clitorial hyperplasia,,,,,,,,,자궁내막증식증,요도괄약근약화,,,,,,,,,산과,비뇨기질환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,산과,,,,,,,,,
143,V0817_49,보리,0.084,0.092,0.011,1.001,6.232,0.33,0.001,0.006,0.986,0.005,0.009,0.295,264.89,43.362,4810.167,1716.919,14.628,193.993,209.632,14.943,0.341,1.056,0.614,0.019,0.047,0.02,0.081,1.235,6.109,1.264,2.802,13.261,110.929,0.154,개,말티즈,3,FS,2.5,3,5,3,5,5,5,5,5,5,5,5,좌측 후지파행,,,,,,,,,,좌측고관절 탈구,,,,,,,,,,슬개골탈구,,,,,,,,,,정형질환,,,,,,,,,,2021-08-09,Lt. hip luxation / FHNO,55,118,11.8,0.45,26.22,91,99,6.6,3.4,3.2,1.06,,,,,,,,,,,,6.17,41.4,14.4,67.1,23.3,34.8,15.4,95.6,1.6,,13.49,69.3,18,9.1,3.1,0.5,,9.34,2.43,1.23,0.42,0.07,,320,13.5,13.6,0.43,,149,4.25,1.29,123,7.45,27.3,68,18.8,-4.4,16.4,11.9,94.6,18.4,43,,,,,,,,기타,,,,,,,,,
144,V0817_50,코코,0.184,0.076,0,0.391,4.731,0.345,0.005,0.005,0.136,0.004,0.006,0.041,261.403,50.576,530.897,148.9,12.476,186.187,250.732,12.361,0.205,0.131,0.585,0.015,0.026,0.021,0.055,0.263,5.169,1.043,3.565,14.924,10.497,1.756,개,코카스파니엘,8,F,13.2,4,2,3,5,4,3,2,2,4,3,3,,,,,,,,,,,cervical mass,soft tissue sarcoma suspected,,,,,,,,,자궁경부종양,연부조직육종,,,,,,,,,종양,종양,,,,,,,,,2021-08-05,경부 종괴 / STS susp,35,145,8.7,0.45,19.33,262,41,7.1,3.3,3.8,0.86,0.29,4,154,1.68,12.02,847,,,25,,32,6.63,41.6,14.8,62.7,22.3,35.6,16.9,37.8,0.6,21.1,23.37,86.9,5.3,7.4,0.3,0.1,,20.28,1.25,1.74,0.08,0.02,,367,14,15.3,0.51,,147,4.11,1.23,133,7.44,29.7,49,19.6,-3.9,17.1,,86,17.2,44,79.6,,,,,,,종양,,,,,,,,,
145,V0817_51,,0.104,0.143,0.023,0.692,16.858,0.638,1.502,0.024,0.454,0.005,0.009,0.071,194.374,20.561,451.605,286.557,18.232,238.005,190.022,23.762,0.468,0.345,0.376,0.035,0.044,0.118,0.069,1.187,9.453,1.023,1.576,13.054,21.964,0.678,개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,건강,,,,,,,,,
146,P0818_1,루리,0.121,0.041,0.018,0.402,5.674,0.389,0.002,0.007,0.181,0.004,0.005,0.138,220.69,21.893,392.784,386.776,16.401,194.877,182.091,13.129,0.258,0.11,0.709,0.01,0.028,0.039,0.097,1.083,10.08,1.212,1.016,11.882,17.941,0.571,개,푸들,10,FS,4.6,3,5,5,2,5,3,3,5,5,5,5,담낭염 진단 외 특이증상 없이 잘 지내고 있음,,,,,,,,,,담낭염 치료 중,,,,,,,,,,담낭염,,,,,,,,,,소화기질환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,담낭질환,,,,,,,,,
147,P0818_2,다미,0.028,0.094,0.007,0.149,5.845,0.603,0.001,0.006,0.3,0.003,0.007,0.058,462.333,76.102,2285.551,638.813,19.925,226.342,235.375,12.285,0.18,0.155,0.952,0.028,0.152,0.017,0.151,1.3,6.075,1.964,3.578,11.36,30.033,0.724,개,말티즈,13,FS,3.4,2,3,3,1,3,2,3,2,1,2,3,호흡곤란,과흥분,,,,,,,,,심부전,CKD,최근 증상 고려 시 신경계 의심증상도 존재함,,,,,,,,심부전,만성신장질환,시신경이상,,,,,,,,심장질환,신장질환,안과질환,,,,,,,,2021-07-29,폐수종,36,119,53.2,2.6,21,102,95,5.7,2.4,3.3,0.7,0.1,6,229,4.7,10.6,1405,,101,,,,5.41,35,12.2,64.7,22.6,34.9,16.5,52.5,1,25.7,14.2,74.3,8.7,7.5,9.4,0.1,,10.55,1.23,1.06,1.34,0.02,,477,11,9.6,0.52,,144,4.16,1.24,113,7.41,37.4,33,23.3,-0.7,24.5,7.4,64.2,10.7,33,,,,,,,,신장질환,심장질환,,,,,,,,
148,P0818_3,장군,0.1,0.075,0.006,0.295,29.49,0.758,0.004,0.006,0.474,0.004,0.008,0.068,458.797,48.279,1347.099,310.194,14.786,175.361,214.34,50.72,1.404,0.373,0.997,0.153,0.05,0.086,0.063,0.539,9.503,2.141,4.343,11.86,27.902,1.479,개,포메라니언,10,MC,10.6,4,2,2,3,3,2,3,3,3,3,3,NRF,,,,,,,,,,부신종대,incidentaloma 가능성,그러나 pheochromocytoma 배제되지 않음,,,,,,,,부신종대,항암치료중,우연종,,,,,,,,종양,종양,호르몬질환,,,,,,,,2021-07-31,부신재진/귀청소,36,79,14.6,0.9,16,634,,9.1,4,5.1,0.8,0.23,5,320,3.4,12.9,669,,126,,69,,7.41,47.9,16.4,64.6,22.1,34.2,18.2,69.7,0.9,25.1,7.93,73.1,10.2,9.1,7.1,0.5,,5.8,0.81,0.72,0.56,0.04,,222,15.9,,0.35,,147,4.44,1.57,118,7.51,25.2,30,19.9,-2.7,20.7,8.8,66,15.5,30,,,,,,,,종양,,,,,,,,,
149,P0818_4,토토,1.534,0.165,0.006,0.081,5.651,0.363,0.001,0.003,0.213,0.003,0.007,0.059,192.813,30.384,2979.677,532.123,14.635,190.749,227.717,13.263,0.186,3.374,0.541,0.015,0.027,0.022,0.032,1.623,6.346,0.847,5.6,13.034,98.068,0.362,개,말티즈,10,MC,6,3,4,5,5,5,5,2,2,4,5,5,연부조직육종 진단 후 항암치료 없이 대증처치 중,,,,,,,,,,복수,식욕감소,,,,,,,,,식욕저하,복수,,,,,,,,,기타,소화기질환,,,,,,,,,2021-07-17,"빈혈, 혈뇨, 복수천자",2,122,29.6,0.8,39,318,,6.9,2.6,4.3,0.6,0.1,5,114,3.9,10.1,1414,,312,,65,,4.17,26.3,8.9,63.1,21.3,33.8,16.8,20,0.5,26.5,12.75,75.5,7.8,12.1,4.3,0.3,,9.62,1,1.54,0.55,0.04,,480,12.7,10.9,0.61,,145,4.06,1.35,116,7.43,29.3,27,19.3,-4.2,20.2,10.4,55.2,6.9,27,,,,,,,,기타,,,,,,,,,
150,P0818_5,백구,1.494,0.045,0.002,0.171,8.664,0.706,0.08,0.004,0.189,0.002,0.004,0.054,661.425,134.716,2434.14,176.047,12.357,164.001,249.888,21.919,0.494,0.145,0.778,0.023,0.043,0.033,0.047,0.804,4.91,2.647,13.827,13.272,18.069,3.757,개,웰시코기,11,MC,16.3,3,4,4,4,3,4,4,2,3,5,4,잘지내는 중,특이사항 없음,,,,,,,,,최근 3달전 유박비료 섭취 후 재진 중,,,,,,,,,,식도이물,,,,,,,,,,소화기질환,,,,,,,,,,2021-08-01,재진,7,,20.1,0.9,21,,,,,,,,,,3.4,,,,,,,,5.56,40.1,14.2,72.3,25.6,35.4,14.1,31.6,0.6,26.7,7.25,66.6,20.7,7,5.4,0.3,,4.83,1.5,0.51,0.39,0.02,,188,12.9,14.2,0.24,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
151,P0818_6,해리,0.081,0.126,0.016,0.397,19.4,1.115,0.005,0.012,0.738,0.004,0.009,0.228,260.932,36.365,2140.286,1036.747,14.706,175.201,226.88,35.648,0.649,0.279,0.778,0.031,0.079,0.088,0.075,3.006,7.175,1.15,2.064,11.914,58.856,0.252,개,카발리에 킹찰스 스파니엘,3,MC,9,3,5,3,5,5,5,5,2,5,5,5,볼때마다 귀여움,,,,,,,,,,피부질환 없음,,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,건강,,,,,,,,,
152,P0818_7,캡틴,0.027,0.087,0.002,0.106,7.283,0.34,0.004,0.006,0.254,0.002,0.005,0.042,171.537,21.421,116.775,82.668,14.449,194.951,177.671,16.478,0.154,0.925,1.412,0.013,0.016,0.054,0.04,13.997,8.008,0.965,1.413,13.493,5.452,2.075,개,시츄,8,MC,7.3,3,3,4,5,5,5,3,5,5,5,5,간헐적 피부염,,,,,,,,,,아토피 피부염으로 정기적 진료,,,,,,,,,,피부알러지,,,,,,,,,,피부질환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,피부질환,,,,,,,,,
153,P0818_8,몽이,0.08,0.114,0.01,0.251,110.014,0.445,0.011,0.006,0.821,0.004,0.005,0.052,340.797,53.832,1400.483,1209.422,64.035,171.655,299.646,1259.761,5.595,0.619,0.513,0.148,0.044,0.074,0.124,0.894,6.331,1.137,1.158,2.681,26.016,0.282,개,말티즈,14,MC,3.2,2,4,2,1,3,1,2,4,2,3,4,기침,호흡곤란,,,,,,,,,심장판막 (이첨판) 폐쇠부전증,건삭파열,,,,,,,,,심장판막폐쇄부전증,건삭파열,,,,,,,,,심장질환,심장질환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,심장질환,,,,,,,,,
154,P0818_9,소리,0.862,0.088,0.004,0.233,4.867,0.279,0.002,0.006,0.276,0.002,0.003,0.057,191.002,19.532,313.353,187.918,12.58,217.702,190.86,13.942,0.175,0.179,0.631,0.016,0.014,0.021,0.032,0.527,9.779,1.001,1.667,17.306,16.043,1.016,개,말티즈,13,FS,6,4,4,4,2,4,4,2,4,4,4,4,,,,,,,,,,,IMHA (면역 매개성 용혈성 빈혈)로 관리 중,,,,,,,,,,빈혈,,,,,,,,,,혈액,,,,,,,,,,2021-08-06,재진,2,,,,,,,,,,,,,,,,,,,,,,5.83,37.7,13.2,64.7,22.6,35,15,124.8,2.1,24,5.79,66.5,19.5,13.1,0.9,0,,3.85,1.13,0.76,0.05,0,,880,11.2,9.4,0.99,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
155,P0818_10,볼리,0.282,0.09,0.003,0.152,14.812,0.831,0.002,0.012,0.481,0.003,0.005,0.075,390.716,64.18,285.062,85.329,16.211,201.981,240.45,31.798,0.409,0.265,0.558,0.014,0.029,0.048,0.067,0.206,6.088,1.625,3.341,12.459,4.442,4.579,개,말티즈,9,MC,5.7,3,4,4,1,5,1,3,5,5,5,5,심장병 관리 중,간헐적 기침,,,,,,,,,MMVD 관리 중인 환자,,,,,,,,,,심장판막증,,,,,,,,,,심장질환,,,,,,,,,,2021-08-07,재진,2,102,14,1,,61,,6.6,3.2,3.4,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,심장질환,,,,,,,,,
156,P0818_11,콩이,0.07,0.064,0.005,0.074,4.404,0.265,0.002,0.009,0.494,0.016,0.007,0.091,164.727,20.1,805.032,359.208,14.495,192.076,227.836,12.952,0.16,0.096,0.475,0.015,0.023,0.03,0.064,0.719,8.195,0.723,2.241,13.251,40.051,0.459,개,말티즈,6,FS,3.8,3,3,4,5,4,5,2,4,3,4,4,귀랑 피부가 가끔 말썽,,,,,,,,,,귀,피부 외 특이사항 없음,,,,,,,,,귀,,,,,,,,,,귀질환,,,,,,,,,,2021-08-07,spay,2,114,5.2,0.6,9,,,7,3.2,3.8,0.8,,,221,2.9,10.1,747,,23,,77,,7.59,48.6,16.5,64,21.7,34,18.5,72.9,1,24,10.11,62.4,24.9,6.4,6.2,0.1,,6.3,2.52,0.65,0.63,0.01,,642,13.8,15.1,0.89,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
157,P0818_12,김태식,0.07,0.151,0.195,0.146,4.836,0.462,0.003,0.011,1.454,0.016,0.012,0.1,297.634,67.917,3842.351,2301.872,16.849,156.125,597.303,13.129,0.424,0.214,0.713,0.023,0.424,0.303,0.119,1.034,4.382,0.498,1.669,9.266,56.574,0.129,개,사모예드,0.3,MC,8.7,3,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,21.8.4 이물섭식(거울조각) 후 위절개 진행,건강함추가,,,,,,,,,건강함,기타(과거력),,,,,,,,,건강,기타,,,,,,,,,2021-08-04,이물섭식(거울),3,118,12.1,0.6,20,,,5.9,3.1,2.7,1.1,0.1,5,362,8,11.5,595,,20,,,,5.63,36.2,12.5,64.3,22.2,34.5,15.6,101.3,1.8,24.9,13.71,33.2,54,8.3,4.4,0.1,,4.53,7.41,1.14,0.61,0.02,,388,13.3,13.1,0.52,,145,4.5,1.49,113,7.42,29.3,51,18.7,-4.9,19.6,12.7,86.9,14.8,51,,,,,,,,건강,,,,,,,,,
158,P0818_13,이호박,0.032,0.053,0.016,0.178,8.632,1.01,0.003,0.009,0.192,0.01,0.008,0.073,903.837,101.443,473.302,89.828,18.279,375.521,185.937,14.008,0.399,0.168,0.652,0.012,0.043,0.059,0.114,0.806,8.91,4.861,5.269,20.544,4.666,10.062,개,시츄,11,MC,10,4,2,2,4,4,4,3,4,4,4,1,잦은 피부 트러블,식욕 체중 증가,,,,,,,,,갑상선 기능 저하증으로 치료 받고 있음,,,,,,,,,,갑상선기능저하증,,,,,,,,,,호르몬질환,,,,,,,,,,2021-08-08,"갑기저, 피부재진",2,114,6,0.6,,1640,,6.8,3,3.8,,,,206,,,,,,35,53,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갑상선기능저하증,,,,,,,,,
159,P0818_14,호동이,0.082,0.061,0.002,0.176,33.689,1.698,0.006,0.01,0.372,0.012,0.008,0.072,1181.056,226.031,3365.796,992.953,11.27,167.086,379.684,61.986,1.033,0.118,0.607,0.035,0.063,0.111,0.095,1.725,5.225,3.111,3.39,14.825,14.891,1.189,개,진돗개,12,MC,17,2,2,2,2,2,1,1,1,1,2,2,식욕,기력 저하,,,,,,,,,연부조직 육종이 복강과 폐로 전이된 상황으로 호스피스 권유,,,,,,,,,,연부조직육종,,,,,,,,,,종양,,,,,,,,,,2021-08-08,복강내종양,3,94,85.6,4.9,17,172,,7.4,2.6,4.7,0.5,0.23,5,450,5.2,10.8,2500,,112,,86,,2.72,16.5,4.6,60.7,16.9,27.9,20.5,23.9,0.9,17.1,24.4,88.5,3.1,8.4,0,0,,21.58,0.76,2.05,0,0.01,,161,13.4,13.4,0.22,,146,4.8,1.43,119,7.33,23.4,56,12,-12.9,12.7,15.4,87.7,7.7,56,,,,,,,,종양,,,,,,,,,
160,P0818_15,또또,0.072,0.087,0.017,0.385,8.566,0.56,0.003,0.009,1.078,0.01,0.009,0.15,260.531,48.608,3745.697,1103.822,16.632,217.043,224.902,23.105,0.533,0.415,0.712,0.017,0.055,0.029,0.057,3.6,5.36,1.158,3.393,13.049,77.059,0.236,개,요크셔테리어,13,FS,4.6,4,4,2,4,4,2,2,4,3,4,1,기침,다음다뇨다식,체중 증가,,,,,,,,쿠싱증후군 의심,아직 확진되지는 않음,,,,,,,,,쿠싱,,,,,,,,,,호르몬질환,,,,,,,,,,2021-08-09,기침진료/쿠싱의심,2,108,26,1,,95,,6.7,4.1,2.6,,0.3,,,5.2,10.6,416,,,,37,,,50.4,17.2,,,34.1,,,0.6,,10.6,,,,,,,,,,,,,380,,,,,147,4,,,,,,,,,,,,,,,,,,,,부신피질기능항진증,,,,,,,,,
161,P0818_16,보슬이,0.648,0.091,0.013,0.277,8.852,0.477,0.002,0.016,0.684,0.009,0.009,0.115,1056.994,124.888,1964.917,944.825,21.747,224.5,310.71,19.545,0.567,0.306,2.853,0.029,0.069,0.04,0.168,6.28,8.464,3.402,2.08,10.323,15.733,1.119,개,시츄,15,FS,5,2,4,3,1,1,1,1,4,4,2,2,쿠싱,심장병 관리 중 악화되어 내원,,,,,,,,,쿠싱증후군,심장 판막증,폐동맥 고혈압,만성췌장염,녹내장,,,,,,췌장염,녹내장,심장판막증,쿠싱,고혈압,,,,,,심장질환,심장질환,소화기질환,호르몬질환,안과질환,,,,,,2021-08-09,호흡곤란,2,107,57.6,1.6,,285,,7,2.9,4.1,0.7,0.14,5,363,4.3,10.8,592,,217,,76,,5.81,38.1,13.4,65.6,23.1,35.2,15.2,75.5,1.3,27.3,12.75,77.9,10,11.1,0.8,0.2,,9.95,1.27,1.41,0.1,0.02,,591,11.2,10.2,0.66,,147,4.7,1.33,115,7.42,35.7,70,22.7,-1.1,23.8,9.7,94.3,17.2,70,10,,,,,,,심장질환,췌장염,부신피질기능항진증,,,,,,,
162,P0818_17,뽀뽀,0.045,0.038,0.003,0.136,9.014,0.422,0.002,0.006,0.239,0.007,0.006,0.089,246.308,25.02,344.077,174.205,18.05,191.821,250.407,21.885,0.276,0.119,0.496,0.012,0.027,0.042,0.058,0.716,9.845,0.984,1.975,10.627,13.752,1.414,개,말티즈,11,FS,3.3,3,5,5,1,5,3,3,5,5,5,5,간헐적 기침을 하지만 잘 지내고 있음,,,,,,,,,,MMVD 관리 중,경미한 질소혈증,,,,,,,,,심장판막증,질소혈증,,,,,,,,,심장질환,혈액,,,,,,,,,2021-08-10,심장재진,2,106,34,1.9,,63,,7.1,3.6,3.5,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,3.79,1.33,109,7.46,37.6,45,26.3,2.6,27.4,11.5,83.6,20.7,45,,,,,,,,심장질환,,,,,,,,,
163,P0818_18,바글,0.183,0.055,0.005,0.112,6.757,1.098,0.002,0.007,0.181,0.022,0.007,0.09,1513.836,272.976,2522.396,157.959,11.794,160.908,311.419,21.087,0.37,0.135,0.959,0.016,0.032,0.029,0.065,1.549,5.546,4.861,15.969,13.643,9.24,9.584,개,비글,5,MC,22,3,5,5,5,5,5,3,5,3,5,5,생식기쪽을 자주핥음,양치하는데 잘 안됨,스케일링 필요,,,,,,,,2021년 4월 둔부쪽 MCT 제거수술 이력,최근 스케일링 위해 내원,,,,,,,,,건강함,기타(과거력),,,,,,,,,건강,기타,,,,,,,,,2021-08-10,스켈링상담,5,100,23.7,0.9,27,10,,10.7,3.7,7,0.5,1.51,5,243,4.1,11.8,1547,,87,,13,,7.08,49.3,18.4,69.6,26,37.3,17.6,19.1,0.3,26.9,8.75,64.6,20.7,10.5,3.9,0.3,,5.65,1.81,0.92,0.34,0.03,,132,15.1,16.6,0.2,,,,,,,,,,,,,,,,,,,,,,,건강,,,,,,,,,
164,P0818_19,샤넬,0.053,0.051,0.006,0.069,8.519,0.532,0.002,0.006,0.208,0.005,0.007,0.056,247.716,46.153,2067.894,136.099,13.455,192.486,179.98,25.307,0.419,0.099,0.427,0.01,0.042,0.03,0.164,0.458,5.367,1.376,15.194,14.306,44.805,1.82,개,코카스파니엘,8,FS,2,4,5,4,2,2,4,3,1,1,5,3,외음부 혈액화농성 삼출물,,,,,,,,,,자궁내막염,cholangiohepatitis susp,ckd,pancreatitis,,,,,,,췌장염,만성신장질환,담관간염,자궁내막염,,,,,,,소화기질환,소화기질환,신장질환,산과,,,,,,,2021-08-12,,36,268,73.3,4.3,,1000,,7.7,2.6,5,0.5,0.61,26,257,13,,672,,501,,146,,7.41,48,16.2,64.8,21.9,33.8,20,89.7,1.2,26.3,16.6,79.2,6.9,9.7,4.1,0.1,,13.15,1.15,1.61,0.68,0.01,,306,8.2,6.5,0.25,803.8,134,4.27,1.16,99,7.51,27.1,52,21.6,-1.1,22.4,13.7,90.3,22,52,13,,,,6,,,신장질환,산과,담낭질환,췌장염,,,,,,
